COTS_ID,Description,URL
ABS-156,Red Scotch-Brite,https://traxismfg.adionsystems.com/procnc/ots/ABS/ABS-156
ABS-157,Gray Scotch-Brite,https://traxismfg.adionsystems.com/procnc/ots/ABS/ABS-157
ABS-158,WHITE Scotch-Brite,https://traxismfg.adionsystems.com/procnc/ots/ABS/ABS-158
ABS-206,"RED Deburring Disc 6DIA, 1/2 Hole",https://traxismfg.adionsystems.com/procnc/ots/ABS/ABS-206
ABS-207,"8"".014 STAINLESS WIRE-BRUSH",https://traxismfg.adionsystems.com/procnc/ots/ABS/ABS-207
ABS-209,4 1/2-Inch Cut Off Wheels,https://traxismfg.adionsystems.com/procnc/ots/ABS/ABS-209
ADH-136,P-02 Double-Sided Paper Tape,https://traxismfg.adionsystems.com/procnc/ots/ADH/ADH-136
ADH-202,E6000 Glue,https://traxismfg.adionsystems.com/procnc/ots/ADH/ADH-202
ADH-450,"3M 5958FR VHB Flame Retardant Tape 1"" wide",https://traxismfg.adionsystems.com/procnc/ots/ADH/ADH-450
C-SSRB-41,1FT 17-4 SS .5 DIA,https://traxismfg.adionsystems.com/procnc/ots/C/C-SSRB-41
CLN-110,ABSORBENT PADS,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-110
CLN-111,Shop Towels,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-111
CLN-112,Paper Towels,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-112
CLN-113,Shop Mop head,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-113
CLN-114,Office Mop head,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-114
CLN-115,Toilet Paper,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-115
CLN-117,Isopropyl Alcohol,https://traxismfg.adionsystems.com/procnc/ots/CLN/CLN-117
FAS-125,1/2-13 x 1 1/2 Hex Low Head Cap Screw,https://traxismfg.adionsystems.com/procnc/ots/FAS/FAS-125
FAS-127,1/2 Flat Washer,https://traxismfg.adionsystems.com/procnc/ots/FAS/FAS-127
FAS-191,1/2-13 x 3/4 Hex Low Head Cap Screw,https://traxismfg.adionsystems.com/procnc/ots/FAS/FAS-191
FAS-197,M5 X 0.8mm,https://traxismfg.adionsystems.com/procnc/ots/FAS/FAS-197
FAS-29,TEE THUMB SCREW KNOB,https://traxismfg.adionsystems.com/procnc/ots/FAS/FAS-29
