COTS_ID,Description,URL
PIN-173,"Dowel Pin 316 Stainless Steel, 1/16"" Diameter, 3/4"" Long",https://traxismfg.adionsystems.com/procnc/ots/PIN/PIN-173
SHS-203,chip brush,https://traxismfg.adionsystems.com/procnc/ots/SHS/SHS-203
THI-10,"HELI-COIL Helical Insert: M4 x 0.7 Internal Thread Size, 5.325 mm Free Coil Dia., 4 mm Lg",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-10
THI-103,"Mounting Hardware STUD, FLUSH, STEEL 4-40, FH-440-4ZI",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-103
THI-104,1084-6EN090(M6X1/ 9mm),https://traxismfg.adionsystems.com/procnc/ots/THI/THI-104
THI-105,"M6 x 1 Internal Thread Size, 7.95 mm",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-105
THI-11,"Helicoil 8-32 x 1.5D, free, uncoated",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-11
THI-119,Press-in (for metal) 4-40,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-119
THI-126,1/2-13 x 1.5D,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-126
THI-139,"3/8"" x 16 x 1.5D UNC",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-139
THI-145,1/4-20 1.5D,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-145
THI-178,1/4-20 Press Fit Insert,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-178
THI-179,M10 Helicoil 20mm Length,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-179
THI-180,M10 Helicoil 15mm Length,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-180
THI-181,M10 Helicoil 15mm Length,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-181
THI-182,M10 Helicoil 15mm Length,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-182
THI-22,Heli-Coil 1/4-20 Tanged Free Running Coarse Nitronic 60 Wire Thread Inserts 0.25 Inch length,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-22
THI-24,"Helicoil 2-56 x 1D, LOCKING, free, dry film",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-24
THI-25,"Helicoil 4-40 x 1.0D dry film, LOCKING",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-25
THI-27,"HELI-COIL Helical Insert: M6 x 1 Internal Thread Size, 7.675 mm Free Coil Dia., 6 mm Lg,",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-27
THI-28,M6 x 1 x 9 mm LOCKING Insert 4184-6CN090,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-28
THI-42,Press-in NFPC-M5,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-42
THI-60,"Helicoil 10-32 x .246 length, free, with dry film coating (black)",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-60
THI-61,"Free Running Coil Insert, Stainless Steel, 1 Diameter Lengths, 10mm Length, M10x1.5 Internal Thread Size",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-61
THI-80,Helicoil 10-32 Tanged free running fine Nitronic 60 2D,https://traxismfg.adionsystems.com/procnc/ots/THI/THI-80
THI-91,"1/4-20 x .75 Free Running Coil Insert, Stainless Steel, 3 Diameter Lengths, 3/4"" Length, 1/4-20 Internal Thread Size, Inch",https://traxismfg.adionsystems.com/procnc/ots/THI/THI-91
TOO-100,10-32 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-100
TOO-101,1/2-13 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-101
TOO-106,"Helicoil Removal Tool #10 to 3/8""",https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-106
TOO-123,M6x1 PowerCoil,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-123
TOO-64,1/4-20 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-64
TOO-65,6-32 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-65
TOO-66,4-40 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-66
TOO-67,2-56 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-67
TOO-69,8-32 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-69
TOO-70,"5/16"" Rivnut Installation Tool",https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-70
TOO-73,3/8-16 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-73
TOO-75,Kit: 3/8-16 x 1.5D Helicoil Installation Kit,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-75
TOO-82,Kit: 5/16-18 Install Tool and Inserts,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-82
TOO-83,Kit: 5/16-24 Install Tool and Inserts,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-83
TOO-84,M5 Manual Helicoil Install Tool,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-84
TOO-88,Kit: 1/2-20 Helicoil,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-88
TOO-89,Kit: 7/16-20 Helicoil,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-89
TOO-90,Kit: M12 x 1.5 Helicoil,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-90
TOO-93,Kit: M6 x 1.0 Helicoil installation / No Helicoil Inserts,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-93
TOO-94,Kit: M10 x 1.5 Helicoil installation,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-94
TOO-95,Kit: M8 x 1.25 Helicoil installation,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-95
TOO-98,Kit: 1/4-28 Helicoil installation,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-98
WOHO-160,26020 Pitbull Clamp,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-160
WOHO-161,Uniforce Clamp 60500,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-161
WOHO-164,Cam Action Hexagon Fixture Clamp 1/4-20,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-164
WOHO-165,Pitbull 3/8-16,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-165
WOHO-166,Modular Pitbull 3/8-16 mitee clamp,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-166
WOHO-167,26050 1/4-20 Knife Edge Pitbull Clamp,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-167
WOHO-168,1/4-20 Brass Pitbull Clamp,https://traxismfg.adionsystems.com/procnc/ots/WOHO/WOHO-168
TOO-217,Deburr Blades Shaviv Shalom B10,https://traxismfg.adionsystems.com/procnc/ots/TOO/TOO-217
