part,part_name,op,op_desc,bom_item,part_number,description,quantity,unit,cost,supplier,order_number,missing
3DS1-IBC Lid,IBC Lid,200,Outsource build from AWJ,1,MAT-45,,1,per part,,TRA1,MAT-45,"NO DESCRIPTION, NO COST"
ADS1-Couplers and Shafts Assy,Couplers and Shafts Assy,70,Press rods into couplers,1,ADS1-Mod- Splined Fitting,,1,per part,,,ADS1-Mod- Splined Fitting,"NO DESCRIPTION, NO COST, NO SUPPLIER"
ADS1-Couplers and Shafts Assy,Couplers and Shafts Assy,70,Press rods into couplers,2,ADS1-Stem 5/8 Diameter,,1,per part,,,ADS1-Stem 5/8 Diameter,"NO DESCRIPTION, NO COST, NO SUPPLIER"
ALM1-ssi-9302-52006,CHAMBER FAN MOTOR COLD PLATE,10,Manufacturing Planning,1,WAKEFIELD-VETTE 180-11-6C COLD PLATE,Heat Sink,1,per part,88.47,Digikey,345-1166-ND,COMPLETE
ALM1-ssi-9303-25074,assembly bracket right angle gear mount,90,Assemble Parts,1,91292A134,SHCS - 18-8 SST - M6 X 1 X 12mm,2,per part,0.2,MCM1,91292A134,COMPLETE
ALM1-ssi-9303-25074,assembly bracket right angle gear mount,90,Assemble Parts,2,SSI-9303-62204,"LOWER BRACKET, RIGHT ANGLE GEAR MOUNT",1,per part,,,ALM1-SSI-9303-62204,"NO COST, NO SUPPLIER"
ALM1-ssi-9303-25074,assembly bracket right angle gear mount,90,Assemble Parts,3,SSI-9303-62203,"UPPER BRACKET, RIGHT ANGLE GEAR MOUNT",1,per part,,,ALM1-SSI-9303-62203,"NO COST, NO SUPPLIER"
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,1,ssi-9303-62427,pulley idler timing belt 32mm id,1,per part,100.0,TRA1,ssi-9303-62427,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,2,SSI-1300-13297,bearing sealed 12mm id x 32mm od x 10mm wide ss,2,per part,20.23,MCM1,5972k42,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,3,ssi-9301-60556,bracket right angle idler pulley block mount,1,per part,,TRA1,ALM1-ssi-9303-60556,NO COST
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,4,ssi-9301-60241,block pulley take-up timing belt,1,per part,170.0,TRA1,ssi-9301-60241,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,5,ssi-9301-60060,plate pulley adjustment,1,per part,70.0,TRA1,ssi-9301-60060,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,6,ssi-1300-13292,"shoulder 18-8 sst m10 x 1.5 x 40, 12mm shldr dia",,per part,20.1,MCM1,90278a357,NO QTY
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,7,ssi-1300-12939,shcs 18-8 sst m8 x 1.25 x 35mm,3,per part,0.54,MCM1,91292a151,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,8,ssi-1300-12724,fhcs 18-8 sst m8 x 1.25 x 14mm,2,per part,0.43,MCM1,92125a281,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,9,ssi-1300-13294,spacer m12 x 5mm 18-8 sst,1,per part,6.08,MCM1,92871a369,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,10,slsi-2850-01449,pin dowel 6mm dia x 12mm long ss,2,per part,0.9,MCM1,93600a635,COMPLETE
ALM1-ssi-9303-25142,Assembly block idler pulley,50,Assembly,11,ssi-1300-12943,shcs 18-8 sst m8 x 1.25 x 20mm,2,per part,,MCM1,FAS-9,NO COST
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,1,ssi-2560-03327,right angle gear drive 15:1 ratio 2 stage,1,per part,2291.0,GAM,DL-DW-055-015G,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,2,ssi-2540-00811,grommet snap in seal,1,per part,2.17,MCM1,63595k39,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,3,ssi-1300-11294,pulley timing belt type H 14 groove,1,per part,89.0,MiMotion,1056803,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,4,ssi-2590-03644,bushing sprocket type G 200MM Bore Browning,1,per part,100.2,MiMotion,1069251,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,5,ssi-9303-25074,assembly bracket right angle gear mount,1,per part,100.0,TRA1,ssi-9303-25074,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,6,ssi-1300-12972,shcs 18-8 sst m6 x 1 x 14,4,per part,0.26,MCM1,91292A070,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,7,ssi-1300-12994,shcs 18-8 sst m5 x 0.8 x 12 mm,4,per part,0.12,MCM1,91292A125,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,8,ssi-1300-12968,shcs 18-8 sst m6 x 1 x 22 mm,2,per part,0.3,MCM1,91292A073,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,9,ssi-1300-12990,shcs 18-8 sst m5 x .8 x 20 mm,2,per part,0.16,MCM1,91292A128,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,10,ssi-3500-01290,motor servo 400w 220vac,1,per part,411.0,GAM,J0400-302-4-000,COMPLETE
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,11,ssi-1300-13803,threadlocker high temp high strength,1,per part,,TRA1,907TS-Red,NO COST
ALM1-ssi-9303-25160,assembly right angle gear drive,60,Assemble Parts,12,ssi-1300-13804,threadlocker high temp Medium strength,1,per part,,TRA1,907TS-Blue,NO COST
ALM1-ssi-9303-25219,Chamber Fan Assembly,50,Assembly,1,ssi-1300-14156,"compression fitting, .5 od x .375 od",2,per part,27.0,MCM1,50915K252,COMPLETE
ALM1-ssi-9303-25219,Chamber Fan Assembly,50,Assembly,2,ssi-2540-00813,o-ring -013 75a kalrez 7075,1,per part,55.0,MCM1,1280n22,COMPLETE
ALM1-ssi-9303-25219,Chamber Fan Assembly,50,Assembly,3,ssi-9303-62649,chamber fan mounting plate,1,per part,,TRA1,ALM1-ssi-9303-62649,NO COST
ALM1-ssi-9303-25219,Chamber Fan Assembly,50,Assembly,4,ssi-9303-52072,ball bearing retention plate,1,per part,12.0,AUS3,,COMPLETE
ALM1-ssi-9303-25219,Chamber Fan Assembly,50,Assembly,5,ssi-1300-13581,shielded ball bearing 188 0.25 id krytox,2,per part,5.52,AST Bearings,07301359,COMPLETE
